Internal ID,Name,Display Name,Description,Type,Sales Type,CATEGORY,SUB-CATEGORY,PROFIT CENTER,BRAND
16981,*S5313130000046,SFG RAIN  FNNP 11ML ISKRAMBOL,RAIN NAIL POLISH 11ML ISKRAMBOL,Assembly,,Nail Care,Nail Polish,CNAI01,Rain Nail Polish
16982,*S5313130000047,SFG RAIN  FNNP 11ML PERYA,RAIN NAIL POLISH 11ML PERYA,Assembly,,Nail Care,Nail Polish,,Rain Nail Polish
16983,*S5313130000048,SFG RAIN  FNNP 11ML ICE POP,RAIN NAIL POLISH 11ML ICE POP,Assembly,,Nail Care,Nail Polish,,Rain Nail Polish
16984,*S5313130000049,SFG RAIN  FNNP 11ML PLASTIC BALLOON,RAIN NAIL POLISH 11ML PLASTIC BALLOON,Assembly,,Nail Care,Nail Polish,,Rain Nail Polish
16985,*S5313130000050,SFG RAIN  FNNP 11ML BRICK GAME,RAIN NAIL POLISH 11ML BRICK GAME,Assembly,,Nail Care,Nail Polish,,Rain Nail Polish
16986,*S5313130000051,SFG RAIN  FNNP 11ML PIKO,RAIN NAIL POLISH 11ML PIKO,Assembly,,Nail Care,Nail Polish,,Rain Nail Polish
16987,*S5313130000052,SFG RAIN  FNNP 11ML KOMIKS,RAIN NAIL POLISH 11ML KOMIKS,Assembly,,Nail Care,Nail Polish,CNAI01,Rain Nail Polish
16988,*S5313130000053,SFG RAIN  FNNP 11ML TEKS,RAIN NAIL POLISH 11ML TEKS,Assembly,,Nail Care,Nail Polish,CNAI01,Rain Nail Polish
16989,*S5313130000054,SFG RAIN  FNNP 11ML GOMA,RAIN NAIL POLISH 11ML GOMA,Assembly,,Nail Care,Nail Polish,CNAI01,Rain Nail Polish
16990,*S5313130000055,SFG RAIN  FNNP 11ML JOLEN,RAIN NAIL POLISH 11ML JOLEN,Assembly,,Nail Care,Nail Polish,CNAI01,Rain Nail Polish
6922,0,Opening Balance - AR,Opening Balance - AR,Non-inventory Item,,,,,
6923,00,Opening Balance - AP,,Non-inventory Item,,,,,
15746,10101441001251,CAPOEQPPAL,,Non-inventory Item,,,,,
28415,10101441001252,CAPOEQPHPTRUCK,,Non-inventory Item,,Common,,,
13398,10101441100001,CAPOFFESMH N30 EGG CRATE 02 GREEN,,Non-inventory Item,,,,,
13399,10101441100002,CAPOFFESMH CNS-3 CRATE C5437-SHF7 02 RED,,Non-inventory Item,,,,,
13400,10101441100003,CAPOFFESMH CNS-1C CRATE C5437-SHH12 02 BLUE,,Non-inventory Item,,,,,
13401,10101441100004,CAPOFFESMH CNS-3C CRATE C5437-SHH7 02 YELLOW,,Non-inventory Item,,,,,
17070,10101441100005,CAPOFFE SS CHAIR BAR STOOL 23INX1FT,,Non-inventory Item,,,,,
17071,10101441100006,CAPOFFE SS CHAIR BAR STOOL W/BACKREST 26X12-1/2IN,,Non-inventory Item,,,,,
24570,10101441100007,CAPOFFE 4-DRAWER LATERAL FILING METAL CABINET 90X45X138,,Non-inventory Item,,,,,
24571,10101441100008,CAPOFFE IND WALL FAN WF-2601 26IN,,Non-inventory Item,,,,,
29620,10101441100009,CAPOFFE SKU 211023 HANABISHI-180 INDUSTRIAL STAND FAN 18,,Non-inventory Item,,Common,,,
15221,1010144110001,"CAPOFFEDSB -  CABINET,FILING,LFC-2D,900X450X750",,Non-inventory Item,,,,,
21151,10101441100010,CAPOFFELAB AIRCON CONDURA-2HP,,Non-inventory Item,,,,,
21152,10101441100011,CAPOFFELAB ERGONOMIC CHAIR-GRAY,,Non-inventory Item,,,,,
21153,10101441100012,CAPOFFELAB ERGONOMIC CHAIR-BLACK,,Non-inventory Item,,,,,
21638,10101441100013,CAPOFFELAB DELIVERY FEE,,Non-inventory Item,,,,,
24469,10101441100014,CAPOFFELAB DELIVERY FEE FILLING CABINETS,,Non-inventory Item,,,,,
28006,10101441100015,CAPOFFELAB STEEL CABINET RACK,,Non-inventory Item,,Common,,,
31231,10101441100016,CAPOFFE 2-DOOR LAYER FILING CABINET 450D X 900W X 750H MM COLOR,,Non-inventory Item,,Common,,,
31232,10101441100017,CAPOFFE 3-DRAWER MOBILE PEDESTAL 560D X 400W X 675H MM,,Non-inventory Item,,Common,,,
31131,10101441100321,CAPOFFE ELECTRIC WALL FAN,,Non-inventory Item,,Common,,,
31132,10101441100322,CAPOFFE ELECTRIC STAND FAN,,Non-inventory Item,,Common,,,
13096,10104300000001,"CAP COM PRI PRINTER, BARCODE, CLN4x",,Non-inventory Item,,,,,
13095,10107800000001,CAP VEHI MOT YAMAHA MIO 125i,,Non-inventory Item,,,,,
30929,10107800000002,CAPVEHI MOTORCYCLE HONDA WAVE 110 RSX DISC,,Non-inventory Item,,Common,,,
18191,101164124,"LADDER,STEP,700X1200X2300MM,STEEL",,Non-inventory Item,,,,,
20826,10144100607890,"SHREDDER,PAPER,KOBRA,240.1 S4",,Non-inventory Item,,,,,
24267,10144100607891,"CABINET,FILING,LFC-4D,LightGray",,Non-inventory Item,,,,,
16464,1014411000001,CAP OEQP AIRCON CARRIER A/C FP53GCVB024 2.5HP,,Non-inventory Item,,,,,
28315,1014411000010,CAP OEQP AIRCON INVERTER,,Non-inventory Item,,Common,,,
25880,1014411000011,CAP OEQP AIRCON CONDURA WCONH012EEV1 A/C 1.5 HP,,Non-inventory Item,,Common,,,
25876,1014411000012,CAP OEQP MAKITA CORDED DRILL,,Non-inventory Item,,Common,,,
25878,1014411000013,CAP OEQP MAKITA CORDED ANGLE GRINDER,,Non-inventory Item,,Common,,,
25879,1014411000014,CAP OEQP HOT AND COLD WATER DISPENSER,,Non-inventory Item,,Common,,,
27604,1014411000015,CAP OEQP CLAMP METER ELECTRICAL TEST KIT,,Non-inventory Item,,Common,,,
27605,1014411000016,CAP OEQP DIGITAL MULTIMETER,,Non-inventory Item,,Common,,,
25376,10144110300001,CAPSMHDLBOX,,Non-inventory Item,,,,,
25476,10144110300002,CAPSMHBRKET,,Non-inventory Item,,,,,
26386,10144110300003,"Angular Hand Truck  8""",,Non-inventory Item,,Common,,,
26793,10144110300004,Stanley Platform Truck 300kg,,Non-inventory Item,,Common,,,
14915,102000009,"CNS BC,STICKER,30x9,(PLAIN)",,Inventory Item,,,,,
14916,102000015,"CNS BC,STICKER,75x50,(PLAIN)",,Inventory Item,,,,,
18193,102001371,"Film, Stretch, 20inchx500M",,Non-inventory Item,,,,,
30932,10310000200001,CAP MACH CAM M1 CAPPING MACHINE,,Non-inventory Item,,Common,,,
29727,10310000400001,CAP MACH LEIBINGER JET 3 ECO CODING MACHINE 5-LINER,,Non-inventory Item,,Common,,,
28028,10310000500001,CAP MACH CMP VESPA AIR COMPRESSOR 3 HP 3-PHASE,,Non-inventory Item,,Common,,,
28030,10310000600001,CAP MACH COA ZS-JP1 SIDE GRIP CONVEYOR,,Non-inventory Item,,Common,,,
28031,10310000600002,CAP MACH COA SIDE BELT FOR ZS-JP1,,Non-inventory Item,,Common,,,
18188,10310000800001,"CAP MACH FIM ZS-DTMP6A, 6 HEADS",,Non-inventory Item,,,,,
18189,10310000800002,"CAP MACH FIM ZS-DTMP6A, 4 HEADS",,Non-inventory Item,,,,,
31635,10310000800003,"CAP MACH FIM FL-010R, PERISTALTIC TYPE",,Non-inventory Item,,Common,,,
21148,10310001000001,CAPMACHLAB HOTPLATE-STIRRER-MAGNETIC BAR,,Non-inventory Item,,,,,
21149,10310001000002,CAPMACHLAB PH METER,,Non-inventory Item,,,,,
21150,10310001000003,CAPMACHLAB ANALYTICAL BALANCE,,Non-inventory Item,,,,,
15747,10310001100001,"CAP MACH MTI WEIGHING SCALE, FUJI, 50KG",,Non-inventory Item,,,,,
22248,1031000150001,CAP PIP AIRCON PIPE,,Non-inventory Item,,,,,
28029,10310001900001,CAP MACH SMT OSTS-1000 PORTABLE INDUCTION SEALER,,Non-inventory Item,,Common,,,
29728,10310001900002,CAP MACH SMT UNI-AIR SOLENOID VALVE FOR BLISTER MACHINE,,Non-inventory Item,,Common,,,
30931,10310001900003,CAP MACH SMT BLISTER PACK PNEUMATIC SEALER,,Non-inventory Item,,Common,,,
24368,10310002100001,CAP MACH SMH DTF 450 HYDRAULIC DRUM LIFTER,,Non-inventory Item,,,,,
9056,10430000301001,"CAP COMP APPLE MKGP3PP/A 14-INCH, SPACE GRAY",,Non-inventory Item,,,,,
29622,10481017000002,"SLUSH MACHINE, BLACK, CIHAN1V2",,Non-inventory Item,,Common,,,
18195,1048101700001,"CAP MACH CIHAN 2,3,4,5 BODY  19.33 W(CM),26.00H(CM), 7.61 W(IN) 10.24 H(IN)",,Non-inventory Item,,,,,
22249,1056100000001,CAP SFFE AC UNIT DISMANTLING,,Non-inventory Item,,,,,
14815,1056100010001,"CAP HKS Metal Hooks 6"" Length",,Non-inventory Item,,,,,
24670,1056100010002,CAP HKS ADJUSTABLE SINGLE STANDING PRONG 170MM H x 130MM HKS x 3” x 4.5” ACRYLIC BASE,,Non-inventory Item,,,,,
23157,1056100020001,CAP IND WALL MOUNTED DISPENSERS,,Service,,,,,
27504,1056100020001,CAP IND WALL MOUNTED DISPENSERS,,Non-inventory Item,,,,,
27505,1056100020002,CAP IND AUTOMATIC SPRAY DISPENSERS,,Non-inventory Item,,,,,
23158,1056100020002,CAP IND AUTOMATIC SPRAY DISPENSERS,,Service,,,,,
14816,1056100030001,CAP MAC BOBBIE PANEL 6 FT X 3 FT X 5 FT,,Non-inventory Item,,,,,
14817,1056100030002,CAP MAC BOBBIE CUBE SET,,Non-inventory Item,,,,,
14818,1056100030003,CAP MAC BOBBIE COLUMN 1 FT X 1FT X 3FT,,Non-inventory Item,,,,,
14819,1056100030004,CAP MAC BOBBIE SHELVES 180 CM X 90 CM X 30 CM,,Non-inventory Item,,,,,
14820,1056100030005,CAP MAC BOBBIE CYLINDER SET,,Non-inventory Item,,,,,
14821,1056100030006,CAP MAC DELIVERY FEE,,Non-inventory Item,,,,,
13712,1056100050001,"CAP MOD Bin, Side, Bobbie,310x150x1450mm,MetalRack",,Non-inventory Item,,,,,
13713,1056100050002,CAP MOD Bobbie Pro-styl and Hair Extras Module 700mm x 700mm x 1500mm,,Non-inventory Item,,,,,
14720,1056100050003,CAP MOD Bobbie Module 1 x 1 x 4.5 ft,,Non-inventory Item,,,,,
14721,1056100050004,CAP MOD Bobbie Module 1 x 1.5 x 4.5 ft,,Non-inventory Item,,,,,
14722,1056100050005,CAP MOD Bobbie Module 1.5 x 1.5 x 4.5 ft,,Non-inventory Item,,,,,
