Internal ID,Internal ID,ID,STORE CODE,Name,Top Level Parent,ID,Name,Company Name,Business Style,Philippines Business Style,Status,Billing Address 1,Billing City,Billing State/Province,Billing Zip,Date Created
5461,5461,C1AVI01000,,1AVIATION GROUNDHANDLING SERVICES CORP.,C1AVI01000 1AVIATION GROUNDHANDLING SERVICES CORP.,,,1AVIATION GROUNDHANDLING SERVICES CORP.,,1AVIATION GROUNDHANDLING SERVICES CORP.,CUSTOMER-Closed Won,"CEBU PACIFIC BLDG.,DOMESTIC RD.,BGY. 191",PASAY CITY,MNLA,1300,14-Dec-2021 1:20 pm
9811,9811,C1EXP01000,,1EXPORT TRADE AND SERVICES INC.,C1EXP01000 1EXPORT TRADE AND SERVICES INC.,,,1EXPORT TRADE AND SERVICES INC.,,1EXPORT TRADE AND SERVICES INC.,CUSTOMER-Closed Won,UNIT 404 ANGELUS PLAZA 104 V.A. RUFINO ST. VILLAGE,MAKATI CITY,MNLA,,18-Apr-2022 9:04 am
5561,5561,CACLE01000,,"ACLEM TRADE INTERNATIONAL, INC.","CACLE01000 ACLEM TRADE INTERNATIONAL, INC.",,,"ACLEM TRADE INTERNATIONAL, INC.",,"ACLEM TRADE INTERNATIONAL, INC.",CUSTOMER-Closed Won,"330 YUCHENGCO ST.,ACLEM BLDG.",BINONDO,,,14-Dec-2021 1:24 pm
5562,5562,CAGMA01000,,A.G. MANASAN GEN. MDSE.,CAGMA01000 A.G. MANASAN GEN. MDSE.,,,A.G. MANASAN GEN. MDSE.,,A.G. MANASAN GEN. MDSE.,CUSTOMER-Closed Won,STALL NO. 63 ONGSIACO BLDG. TABORA ST.,BINONDO MANILA,MNLA,,14-Dec-2021 1:24 pm
5563,5563,CAHSH01000,,"AH SHOPPER'S MART, INC.","CAHSH01000 AH SHOPPER'S MART, INC.",,,"AH SHOPPER'S MART, INC.",,"AH SHOPPER'S MART, INC.",CUSTOMER-Closed Won,COR.MARAPAO & J.S. TORRALBA STREETS,TAGBILARAN CITY,BHOL,,14-Dec-2021 1:24 pm
5564,5564,CALBA01000,,ALBATROS TRADING,CALBA01000 ALBATROS TRADING,,,ALBATROS TRADING,,ALBATROS TRADING,CUSTOMER-Closed Won,842 CARMEN PLANAS ST. BGY. 269 ZONE 25 DIST. III,TONDO MANILA,MNLA,1012,14-Dec-2021 1:24 pm
7477,7477,CALBE01000,,ALBERT TIU,CALBE01000 ALBERT TIU,,,ALBERT TIU,,ALBERT TIU,CUSTOMER-Closed Won,TOPPERS 2069 DR. CARREON ST. STA. A,MANILA,,,14-Dec-2021 1:31 pm
7563,7563,CALDA01000,,ALLDAY MART INC.,CALDA01000 ALLDAY MART INC.,,,ALLDAY MART INC.,,ALLDAY MART INC.,CUSTOMER-Closed Won,LGF EVIA LIFESTYLE CENTER DAANG HARI BRGY. ALMANZA DOS,LAS PIÑAS CITY,MNLA,,14-Dec-2021 1:32 pm
7564,7564,CALDA01AG1XG801,,"ALLDAY MART INC. : ALLDAY MARTS, INC. (ALLGREEN - EVIA)",CALDA01000 ALLDAY MART INC.,CALDA01000,ALLDAY MART INC.,"ALLDAY MARTS, INC. (ALLGREEN - EVIA)",,ALLDAY MART INC.,CUSTOMER-Closed Won,LGF EVIA LIFESTYLE CENTER DAANG HARI BRGY. ALMANZA DOS,LAS PIÑAS CITY,,,14-Dec-2021 1:32 pm
10791,10791,CALDA01AH1,,ALLDAY MART INC. : ALLDAY MART INC. AGRO HOMES,CALDA01000 ALLDAY MART INC.,CALDA01000,ALLDAY MART INC.,ALLDAY MART INC. AGRO HOMES,,ALLDAY MART INC.,CUSTOMER-Closed Won,"LGF EVIA LIFESTYLE CTR. DAANG HARI BRGY. ALMANZA DOS, LAS PIÑAS",LAS PIÑAS,MNLA,,19-Dec-2022 3:11 pm
